locus,count-nuc,missing
MYCO001102,10,4
MYCO001103,14,5
MYCO001104,41,2
MYCO001105,24,37
MYCO001106,38,6
MYCO001107,10,0
MYCO001109,20,0
MYCO001111,31,3
MYCO001113,4,0
MYCO001114,19,6
MYCO001115,42,16
MYCO001116,9,14
MYCO001117,12,2
MYCO001118,38,50
MYCO001119,8,18
MYCO001120,26,23
MYCO001121,70,54
MYCO001122,40,36
MYCO001123,45,50
MYCO001124,43,15
MYCO001125,60,87
MYCO001126,26,5
MYCO001127,67,11
MYCO001128,68,1402
MYCO001129,110,11
MYCO001130,79,32
MYCO001131,50,1
MYCO001132,85,1051
MYCO001133,63,32
MYCO001134,17,7
MYCO001135,96,1319
MYCO001136,19,1
MYCO001137,13,4
MYCO001138,43,40
MYCO001139,35,31
MYCO001140,34,4
MYCO001141,26,50
MYCO001142,21,53
MYCO001143,38,36
MYCO001144,35,29
MYCO001145,22,2705
MYCO001146,57,10
MYCO001147,30,17
MYCO001148,23,5713
MYCO001149,26,55
MYCO001151,26,17
MYCO001152,17,0
MYCO001153,44,82
MYCO001154,35,14
MYCO001155,21,7
MYCO001156,26,13
MYCO001157,50,1381
MYCO001158,31,154
MYCO001159,49,1
MYCO001160,20,61
MYCO001161,136,31
MYCO001162,74,19
MYCO001163,23,3
MYCO001164,30,4
MYCO001166,61,6
MYCO001167,18,13
MYCO001168,56,143
MYCO001169,16,11
MYCO001170,37,10
MYCO001171,26,7
MYCO001172,49,108
MYCO001174,22,6
MYCO001175,99,1595
MYCO001176,26,37
MYCO001179,142,349
MYCO001180,1,5801
MYCO001181,182,32
MYCO001182,41,13
MYCO001183,141,7
MYCO001184,44,11
MYCO001185,61,14
MYCO001186,87,33
MYCO001187,68,30
MYCO001188,56,55
MYCO001189,37,86
MYCO001190,35,275
MYCO001191,38,156
MYCO001192,32,116
MYCO001194,72,26
MYCO001195,17,11
MYCO001196,291,3392
MYCO001197,107,3195
MYCO001198,133,1412
MYCO001199,8,5709
MYCO001200,64,294
MYCO001203,35,10
MYCO001204,73,33
MYCO001205,25,4
MYCO001206,58,8
MYCO001209,18,2
MYCO001210,15,26
MYCO001211,6,0
MYCO001212,43,14
MYCO001214,17,19
MYCO001215,95,96
MYCO001216,28,105
MYCO001217,87,117
MYCO001218,52,15
MYCO001219,33,23
MYCO001222,22,4
MYCO001224,23,8
MYCO001225,39,1314
MYCO001226,91,109
MYCO001227,32,8
MYCO001228,33,17
MYCO001230,77,75
MYCO001231,25,12
MYCO001232,61,52
MYCO001233,34,175
MYCO001234,24,8
MYCO001235,47,0
MYCO001236,43,13
MYCO001237,28,12
MYCO001240,44,4
MYCO001241,11,3
MYCO001242,19,11
MYCO001243,59,3210
MYCO001244,47,36
MYCO001246,16,0
MYCO001247,10,2
MYCO001249,41,27
MYCO001250,75,52
MYCO001251,100,918
MYCO001252,21,4
MYCO001254,43,24
MYCO001255,31,33
MYCO001256,58,90
MYCO001257,70,21
MYCO001258,56,1212
MYCO001259,39,56
MYCO001260,34,537
MYCO001261,18,33
MYCO001262,25,32
MYCO001263,77,141
MYCO001264,71,96
MYCO001265,24,35
MYCO001266,92,512
MYCO001267,52,11
MYCO001268,51,49
MYCO001269,26,1114
MYCO001270,31,35
MYCO001271,16,9
MYCO001274,21,67
MYCO001275,27,1
MYCO001276,31,6
MYCO001278,102,79
MYCO001279,73,81
MYCO001280,80,19
MYCO001281,62,6
MYCO001282,39,2
MYCO001283,33,6
MYCO001284,19,5
MYCO001285,64,10
MYCO001286,91,11
MYCO001287,14,3
MYCO001288,62,2016
MYCO001289,31,3
MYCO001290,70,108
MYCO001291,16,6
MYCO001296,42,0
MYCO001300,40,72
MYCO001301,18,2
MYCO001303,18,5
MYCO001304,35,9
MYCO001306,20,3
MYCO001307,61,13
MYCO001312,22,13
MYCO001313,36,3180
MYCO001314,36,9
MYCO001316,31,2
MYCO001317,78,165
MYCO001318,71,131
MYCO001319,52,4418
MYCO001320,92,151
MYCO001322,21,51
MYCO001324,42,195
MYCO001325,80,3535
MYCO001329,93,49
MYCO001330,68,319
MYCO001331,11,9
MYCO001332,29,9
MYCO001333,43,81
MYCO001334,14,150
MYCO001335,16,134
MYCO001336,34,342
MYCO001337,29,4
MYCO001339,31,12
MYCO001341,27,16
MYCO001342,19,0
MYCO001343,34,0
MYCO001344,17,0
MYCO001345,66,8
MYCO001346,34,2
MYCO001347,35,3
MYCO001348,96,20
MYCO001349,58,6
MYCO001350,30,0
MYCO001351,20,24
MYCO001352,24,13
MYCO001353,38,171
MYCO001354,100,209
MYCO001355,116,975
MYCO001356,50,250
MYCO001357,46,32
MYCO001358,138,1439
MYCO001359,24,51
MYCO001360,34,90
MYCO001361,297,3470
MYCO001362,30,27
MYCO001363,32,40
MYCO001364,79,423
MYCO001365,19,31
MYCO001366,36,328
MYCO001367,61,97
MYCO001368,36,104
MYCO001370,16,589
MYCO001371,49,1389
MYCO001372,66,15
MYCO001373,45,93
MYCO001374,37,5
MYCO001375,72,92
MYCO001376,61,32
MYCO001377,23,6
MYCO001378,74,62
MYCO001379,22,2
MYCO001382,27,20
MYCO001386,23,41
MYCO001387,70,1129
MYCO001389,34,6
MYCO001393,57,57
MYCO001394,68,15
MYCO001395,48,25
MYCO001396,63,3393
MYCO001397,24,12
MYCO001398,15,7
MYCO001399,46,30
MYCO001400,44,69
MYCO001401,34,2
MYCO001403,38,38
MYCO001404,22,0
MYCO001405,37,3
MYCO001406,44,10
MYCO001409,34,28
MYCO001411,37,1
MYCO001413,33,5
MYCO001414,22,11
MYCO001417,26,1
MYCO001418,30,7
MYCO001419,30,13
MYCO001422,41,19
MYCO001423,46,8
MYCO001424,40,31
MYCO001425,61,28
MYCO001426,69,27
MYCO001427,75,54
MYCO001428,44,3
MYCO001429,62,20
MYCO001430,71,51
MYCO001431,98,44
MYCO001432,46,21
MYCO001433,34,2
MYCO001434,7,138
MYCO001435,39,224
MYCO001439,19,11
MYCO001441,111,2624
MYCO001442,133,46
MYCO001443,18,26
MYCO001444,25,29
MYCO001446,59,756
MYCO001450,5,5804
MYCO001452,118,5316
MYCO001453,64,39
MYCO001454,52,14
MYCO001455,46,17
MYCO001456,43,27
MYCO001459,79,67
MYCO001460,29,162
MYCO001461,113,24
MYCO001468,48,2101
MYCO001469,96,501
MYCO001470,16,8
MYCO001471,16,25
MYCO001472,56,33
MYCO001476,28,1
MYCO001477,58,4
MYCO001478,35,16
MYCO001482,43,20
MYCO001486,43,2
MYCO001487,18,1
MYCO001488,41,17
MYCO001489,15,9
MYCO001490,80,39
MYCO001491,40,6
MYCO001492,78,86
MYCO001494,10,9
MYCO001495,18,12
MYCO001496,37,16
MYCO001497,63,43
MYCO001498,40,44
MYCO001499,17,23
MYCO001500,59,78
MYCO001501,37,48
MYCO001502,57,83
MYCO001504,21,1455
MYCO001505,44,60
MYCO001506,25,136
MYCO001507,37,90
MYCO001508,85,163
MYCO001509,41,438
MYCO001510,41,43
MYCO001511,55,35
MYCO001512,51,17
MYCO001513,27,20
MYCO001514,36,34
MYCO001515,44,39
MYCO001516,46,16
MYCO001517,30,24
MYCO001518,41,182
MYCO001519,10,844
MYCO001520,46,868
MYCO001521,70,140
MYCO001522,151,421
MYCO001523,47,68
MYCO001524,57,559
MYCO001525,43,640
MYCO001526,59,568
MYCO001527,327,347
MYCO001528,18,29
MYCO001529,79,64
MYCO001530,65,20
MYCO001531,20,13
MYCO001532,24,67
MYCO001533,43,25
MYCO001534,34,12
MYCO001535,13,3
MYCO001537,71,27
MYCO001538,50,13
MYCO001539,27,5
MYCO001541,23,24
MYCO001542,22,30
MYCO001543,47,13
MYCO001544,40,50
MYCO001545,9,18
MYCO001546,33,15
MYCO001548,99,33
MYCO001549,2,5750
MYCO001550,65,594
MYCO001551,84,1333
MYCO001552,81,12
MYCO001553,26,173
MYCO001554,18,13
MYCO001555,18,4
MYCO001556,34,24
MYCO001558,17,35
MYCO001560,8,1
MYCO001561,25,8
MYCO001562,70,513
MYCO001563,115,16
MYCO001565,87,75
MYCO001566,38,377
MYCO001567,27,10
MYCO001570,30,44
MYCO001571,26,40
MYCO001572,10,4656
MYCO001573,12,3606
MYCO001574,22,3808
MYCO001575,1,5810
MYCO001576,136,945
MYCO001577,17,3591
MYCO001578,21,3589
MYCO001579,20,3581
MYCO001580,12,3616
MYCO001581,8,4360
MYCO001582,44,3582
MYCO001583,20,802
MYCO001584,10,3583
MYCO001585,19,3763
MYCO001586,44,3604
MYCO001587,11,5789
MYCO001588,27,5701
MYCO001590,11,7
MYCO001591,42,16
MYCO001592,70,8
MYCO001596,30,2
MYCO001597,35,16
MYCO001598,17,46
MYCO001602,30,1
MYCO001604,41,7
MYCO001606,18,0
MYCO001607,30,1
MYCO001608,16,1
MYCO001610,35,52
MYCO001613,39,3
MYCO001614,57,8
MYCO001615,28,2
MYCO001616,17,6
MYCO001618,30,4
MYCO001619,59,17
MYCO001620,58,172
MYCO001621,72,62
MYCO001622,36,7
MYCO001623,55,5
MYCO001624,34,7
MYCO001625,69,101
MYCO001628,14,37
MYCO001631,43,23
MYCO001632,18,2
MYCO001634,58,20
MYCO001635,67,7
MYCO001636,24,1
MYCO001637,45,788
MYCO001639,73,222
MYCO001640,143,33
MYCO001644,48,10
MYCO001645,46,41
MYCO001646,48,20
MYCO001647,43,722
MYCO001648,46,5
MYCO001650,132,72
MYCO001651,153,2465
MYCO001660,51,502
MYCO001661,300,815
MYCO001662,264,992
MYCO001663,89,70
MYCO001664,151,419
MYCO001665,50,25
MYCO001666,58,41
MYCO001667,34,27
MYCO001668,4,5657
MYCO001669,13,159
MYCO001670,20,39
MYCO001671,26,58
MYCO001672,73,515
MYCO001673,49,509
MYCO001674,30,508
MYCO001675,38,435
MYCO001676,51,20
MYCO001677,31,8
MYCO001678,50,49
MYCO001679,48,15
MYCO001680,41,5
MYCO001681,46,12
MYCO001682,42,544
MYCO001683,117,134
MYCO001684,14,4
MYCO001685,33,2
MYCO001686,41,1
MYCO001687,41,34
MYCO001688,36,1
MYCO001690,15,9
MYCO001691,49,30
MYCO001692,44,50
MYCO001693,13,0
MYCO001696,64,3
MYCO001698,32,31
MYCO001700,31,4
MYCO001702,67,111
MYCO001703,23,2
MYCO001704,84,8
MYCO001705,51,277
MYCO001706,50,22
MYCO001707,73,5
MYCO001710,30,1
MYCO001714,50,70
MYCO001715,49,76
MYCO001716,53,3
MYCO001717,20,1215
MYCO001718,47,57
MYCO001719,55,2
MYCO001720,22,28
MYCO001721,8,2
MYCO001722,72,471
MYCO001723,57,33
MYCO001724,16,96
MYCO001725,38,262
MYCO001726,94,52
MYCO001727,25,13
MYCO001728,36,11
MYCO001729,43,23
MYCO001730,83,1103
MYCO001731,67,138
MYCO001732,20,3
MYCO001733,36,4
MYCO001734,10,4
MYCO001735,25,27
MYCO001736,114,185
MYCO001737,53,132
MYCO001738,19,51
MYCO001739,79,220
MYCO001740,11,3
MYCO001741,15,6
MYCO001742,40,140
MYCO001743,70,29
MYCO001744,25,123
MYCO001745,31,9
MYCO001746,70,41
MYCO001747,91,25
MYCO001748,42,14
MYCO001749,31,17
MYCO001750,71,35
MYCO001751,63,21
MYCO001752,30,7
MYCO001753,24,5762
MYCO001754,45,2638
MYCO001757,16,589
MYCO001758,23,4426
MYCO001759,43,5364
MYCO001760,50,3189
MYCO001761,17,3157
MYCO001762,23,3213
MYCO001763,16,589
MYCO001765,2,5805
MYCO001766,9,22
MYCO001767,14,10
MYCO001768,85,1871
MYCO001769,55,217
MYCO001770,70,47
MYCO001771,59,6
MYCO001772,15,9
MYCO001773,38,18
MYCO001774,76,22
MYCO001775,32,1203
MYCO001776,33,16
MYCO001777,72,221
MYCO001778,16,227
MYCO001779,108,42
MYCO001780,17,4
MYCO001781,114,252
MYCO001782,49,3
MYCO001783,118,37
MYCO001785,49,19
MYCO001786,10,4
MYCO001787,18,5510
MYCO001788,18,360
MYCO001789,67,312
MYCO001790,61,2133
MYCO001791,8,2
MYCO001793,109,1297
MYCO001794,43,1
MYCO001795,68,18
MYCO001796,82,10
MYCO001797,63,3
MYCO001798,57,12
MYCO001799,12,548
MYCO001800,103,109
MYCO001801,90,433
MYCO001802,67,221
MYCO001803,94,746
MYCO001804,17,57
MYCO001805,31,5
MYCO001806,22,7
MYCO001808,64,12
MYCO001809,49,214
MYCO001810,18,161
MYCO001811,49,29
MYCO001812,67,53
MYCO001813,27,20
MYCO001814,59,309
MYCO001815,54,193
MYCO001816,27,788
MYCO001817,74,50
MYCO001818,57,3436
MYCO001819,54,19
MYCO001820,70,25
MYCO001822,33,0
MYCO001823,40,9
MYCO001824,19,18
MYCO001825,44,23
MYCO001826,15,0
MYCO001828,32,4
MYCO001831,11,6
MYCO001833,43,8
MYCO001834,36,9
MYCO001835,92,223
MYCO001836,96,47
MYCO001838,17,2
MYCO001839,8,2
MYCO001840,85,1886
MYCO001841,51,85
MYCO001845,36,91
MYCO001846,30,6
MYCO001847,29,7
MYCO001848,18,19
MYCO001849,11,1
MYCO001850,74,101
MYCO001851,35,83
MYCO001852,24,15
MYCO001853,27,10
MYCO001855,50,4
MYCO001856,31,590
MYCO001857,36,1
MYCO001858,22,5
MYCO001859,43,14
MYCO001860,62,124
MYCO001861,21,6
MYCO001862,51,9
MYCO001863,31,6
MYCO001864,35,14
MYCO001865,38,8
MYCO001866,104,39
MYCO001867,76,222
MYCO001868,108,98
MYCO001869,45,33
MYCO001870,31,581
MYCO001871,25,22
MYCO001872,67,10
MYCO001873,30,31
MYCO001874,40,24
MYCO001875,29,12
MYCO001876,28,67
MYCO001877,100,84
MYCO001878,64,287
MYCO001879,49,221
MYCO001880,62,47
MYCO001881,29,56
MYCO001882,41,19
MYCO001883,28,1059
MYCO001884,21,10
MYCO001885,42,37
MYCO001887,65,32
MYCO001888,6,4772
MYCO001889,14,10
MYCO001890,29,22
MYCO001891,27,5
MYCO001892,15,27
MYCO001893,14,8
MYCO001895,34,1433
MYCO001896,61,425
MYCO001897,23,20
MYCO001898,21,9
MYCO001899,53,2051
MYCO001900,78,90
MYCO001901,71,11
MYCO001902,62,111
MYCO001903,29,21
MYCO001904,21,13
MYCO001905,49,21
MYCO001906,24,6
MYCO001907,42,3958
MYCO001908,177,49
MYCO001909,26,10
MYCO001910,31,55
MYCO001911,31,89
MYCO001912,34,1370
MYCO001913,36,8
MYCO001914,23,16
MYCO001915,19,3439
MYCO001916,40,40
MYCO001917,12,5783
MYCO001918,171,311
MYCO001919,22,6
MYCO001920,49,12
MYCO001921,50,850
MYCO001922,48,73
MYCO001923,76,68
MYCO001924,20,13
MYCO001925,82,3
MYCO001926,28,4
MYCO001927,50,130
MYCO001928,32,949
MYCO001929,47,637
MYCO001930,34,48
MYCO001931,40,42
MYCO001932,25,44
MYCO001933,49,395
MYCO001934,63,51
MYCO001935,53,41
MYCO001936,59,20
MYCO001937,103,68
MYCO001938,53,33
MYCO001939,31,60
MYCO001940,21,4498
MYCO001941,37,73
MYCO001942,15,3
MYCO001943,21,18
MYCO001944,40,35
MYCO001945,30,5583
MYCO001946,29,32
MYCO001947,18,50
MYCO001948,32,73
MYCO001950,11,10
MYCO001951,13,11
MYCO001952,11,5
MYCO001953,30,7
MYCO001954,30,37
MYCO001955,17,26
MYCO001956,24,8
MYCO001957,24,5
MYCO001958,39,59
MYCO001959,14,2
MYCO001960,13,0
MYCO001961,34,36
MYCO001962,22,3
MYCO001963,53,14
MYCO001964,39,170
MYCO001965,44,109
MYCO001966,60,57
MYCO001967,66,76
MYCO001968,66,830
MYCO001969,67,98
MYCO001970,52,65
MYCO001971,73,598
MYCO001972,27,60
MYCO001973,22,84
MYCO001974,20,53
MYCO001975,32,131
MYCO001976,17,55
MYCO001977,39,638
MYCO001978,36,1059
MYCO001979,62,123
MYCO001980,40,24
MYCO001982,28,20
MYCO001983,77,668
MYCO001984,35,283
MYCO001985,39,130
MYCO001986,40,26
MYCO001987,28,39
MYCO001988,26,13
MYCO001989,25,50
MYCO001990,12,1
MYCO001991,15,5
MYCO001992,82,1710
MYCO001993,18,859
MYCO001994,19,862
MYCO001995,35,1096
MYCO001996,40,924
MYCO001997,117,2203
MYCO001998,40,17
MYCO001999,79,94
MYCO002000,91,108
MYCO002050,11,1
MYCO002089,56,45
MYCO002090,12,5673
MYCO002092,133,99
MYCO002093,38,18
MYCO002096,45,2
MYCO002097,38,6
MYCO002109,34,16
MYCO002110,30,26
MYCO002111,8,36
MYCO002112,62,1895
MYCO002115,73,9
MYCO002118,27,2
MYCO002119,41,14
MYCO002121,29,10
MYCO002122,16,0
MYCO002125,35,8
MYCO002130,32,73
MYCO002134,25,7
MYCO002139,36,14
MYCO002140,20,1
MYCO002141,60,5
MYCO002145,28,1
MYCO002150,32,58
MYCO002151,34,10
MYCO002153,67,243
MYCO002154,48,149
MYCO002155,95,116
MYCO002156,44,6
MYCO002157,61,1570
MYCO002163,69,10
MYCO002166,13,2
MYCO002170,33,47
MYCO002176,55,14
MYCO002178,33,2
MYCO002179,14,10
MYCO002182,24,7
MYCO002186,16,0
MYCO002187,72,1013
MYCO002188,55,6
MYCO002192,40,13
MYCO002193,22,3
MYCO002194,29,3
MYCO002195,49,10
MYCO002196,62,7
MYCO002199,15,0
MYCO002200,45,7
MYCO002201,67,15
MYCO002202,40,28
MYCO002210,52,2
MYCO002211,56,1
MYCO002213,73,14
MYCO002216,52,8
MYCO002217,39,1
MYCO002218,44,30
MYCO002219,36,38
MYCO002220,51,8
MYCO002221,118,224
MYCO002222,51,2
MYCO002225,38,4
MYCO002228,47,9
MYCO002230,51,50
MYCO002235,42,17
MYCO002239,21,2
MYCO002241,72,75
MYCO002242,40,7
MYCO002243,39,13
MYCO002244,8,0
MYCO002245,38,15
MYCO002246,41,11
MYCO002247,44,29
MYCO002257,40,3
MYCO002259,43,13
MYCO002315,74,233
MYCO002343,71,5
MYCO002344,46,118
MYCO002357,28,1
MYCO002361,23,1
MYCO002362,26,8
MYCO002364,37,2
MYCO002366,59,11
MYCO002367,16,2
MYCO002368,49,8
MYCO002373,48,33
MYCO002374,54,3
MYCO002399,38,7
MYCO002400,54,15
MYCO002402,84,45
MYCO002404,82,6
MYCO002409,33,11
MYCO002410,29,2
MYCO002411,68,10
MYCO002413,35,3
MYCO002420,19,51
MYCO002421,12,0
MYCO002425,45,85
MYCO002426,47,863
MYCO002427,50,10
MYCO002439,34,135
MYCO002440,60,5
MYCO002445,15,2
MYCO002447,66,2
MYCO002448,99,42
MYCO002454,49,4
MYCO002455,65,9
MYCO002457,38,3
MYCO002460,20,3
MYCO002461,29,3
MYCO002462,51,12
MYCO002465,13,38
MYCO002466,25,25
MYCO002467,104,9
MYCO002470,23,2
MYCO002477,63,11
MYCO002500,48,2
MYCO002502,65,24
MYCO002509,43,2
MYCO002511,23,0
MYCO002518,47,87
MYCO002521,21,4
MYCO002523,14,2
MYCO002524,327,566
MYCO002533,27,12
MYCO002534,24,1
MYCO002538,45,2
MYCO002540,59,265
MYCO002555,76,12
MYCO002559,56,62
MYCO002568,40,22
MYCO002572,63,16
MYCO002575,44,60
MYCO002580,39,7
MYCO002582,37,6
MYCO002583,81,4
MYCO002587,83,148
MYCO002589,57,6
MYCO002592,35,12
MYCO002593,28,6
MYCO002594,16,0
MYCO002603,26,1
MYCO002606,35,25
MYCO002610,41,6
MYCO002611,50,11
MYCO002612,31,0
MYCO002613,15,4
MYCO002614,61,15
MYCO002670,38,16
MYCO002673,50,81
MYCO002676,21,10
MYCO002678,41,27
MYCO002682,56,14
MYCO002696,42,4
MYCO002697,15,0
MYCO002699,11,0
MYCO002702,46,3
MYCO002703,47,10
MYCO002708,14,3
MYCO002710,36,3
MYCO002711,27,3
MYCO002714,41,17
MYCO002715,57,840
MYCO002720,41,2
MYCO002724,56,29
MYCO002725,60,73
MYCO002726,36,1
MYCO002727,46,39
MYCO002731,49,43
MYCO002733,71,398
MYCO002744,35,149
MYCO002748,111,131
MYCO002750,34,12
MYCO002753,41,3
MYCO002754,28,3
MYCO002764,53,43
MYCO002773,28,2
MYCO002782,56,14
MYCO002783,74,18
MYCO002788,18,559
MYCO002794,34,0
MYCO002795,43,8
MYCO002828,45,2041
MYCO002838,26,7
MYCO002839,94,1209
MYCO002841,46,2
MYCO002846,46,3
MYCO002847,45,7
MYCO002861,32,0
MYCO002864,56,5
MYCO002868,32,0
MYCO002870,40,9
MYCO002882,25,5
MYCO002883,34,1
MYCO002889,30,6
MYCO002894,31,61
MYCO002901,8,1
MYCO002902,40,11
MYCO002915,54,4
MYCO002916,52,11
MYCO002917,78,132
MYCO002918,99,208
MYCO002919,14,2
MYCO002921,63,3
MYCO002927,29,2
MYCO002965,14,0
MYCO002967,98,24
MYCO002976,28,4
MYCO002981,53,76
MYCO002982,47,7
MYCO002984,60,45
MYCO002988,38,3
MYCO002992,68,12
MYCO002993,33,1
MYCO002995,46,108
MYCO002996,62,9
MYCO002001,46,19
MYCO002002,31,11
MYCO002003,54,10
MYCO002004,62,4
MYCO002005,34,2
MYCO002006,205,93
MYCO002007,10,3
MYCO002008,63,24
MYCO002009,10,5
MYCO002010,13,4
MYCO002011,21,5
MYCO002012,37,11
MYCO002013,20,32
MYCO002014,33,19
MYCO002015,73,1520
MYCO002016,24,1340
MYCO002017,49,105
MYCO002018,20,158
MYCO002019,19,505
MYCO002020,16,182
MYCO002021,14,156
MYCO002022,40,181
MYCO002023,13,64
MYCO002024,19,5318
MYCO002025,56,29
MYCO002026,46,34
MYCO002027,46,1295
MYCO002028,36,43
MYCO002029,48,52
MYCO002030,107,20
MYCO002031,22,4
MYCO002032,48,55
MYCO002033,53,68
MYCO002034,15,6
MYCO002035,28,8
MYCO002036,29,11
MYCO002037,62,44
MYCO002038,43,4
MYCO002039,30,6
MYCO002040,30,7
MYCO002041,56,16
MYCO002042,45,17
MYCO002043,178,211
MYCO002044,14,853
MYCO002045,82,22
MYCO002046,33,21
MYCO002047,103,33
MYCO002048,37,5746
MYCO002049,14,10
MYCO002051,117,57
MYCO002052,89,87
MYCO002053,37,6
MYCO002054,39,48
MYCO002059,86,70
MYCO002060,20,37
MYCO002061,25,18
MYCO002062,181,236
MYCO002063,12,0
MYCO002064,43,100
MYCO002065,27,262
MYCO002066,90,41
MYCO002067,56,47
MYCO002068,46,11
MYCO002069,15,1
MYCO002070,35,1758
MYCO002071,39,9
MYCO002072,58,94
MYCO002073,39,87
MYCO002074,19,86
MYCO002075,79,114
MYCO002076,10,9
MYCO002077,46,101
MYCO002078,25,7
MYCO002079,81,1318
MYCO002080,32,25
MYCO002081,28,3161
MYCO002082,129,2352
MYCO002083,61,64
MYCO002084,20,2729
MYCO002085,20,34
MYCO002086,26,12
MYCO002087,14,11
MYCO002088,77,801
MYCO002091,42,2
MYCO002094,12,0
MYCO002095,46,47
MYCO002100,90,416
MYCO002101,139,520
MYCO002102,32,192
MYCO002103,25,20
MYCO002104,14,3
MYCO002105,16,589
MYCO002107,21,67
MYCO002108,33,152
MYCO002113,55,23
MYCO002114,36,71
MYCO002116,27,9
MYCO002117,12,14
MYCO002120,25,20
MYCO002123,44,3415
MYCO002124,160,246
MYCO002126,40,1871
MYCO002127,79,10
MYCO002128,13,1
MYCO002129,53,25
MYCO002131,32,0
MYCO002132,11,47
MYCO002133,35,13
MYCO002135,25,267
MYCO002136,36,11
MYCO002137,20,11
MYCO002138,49,27
MYCO002142,20,10
MYCO002143,57,18
MYCO002144,16,60
MYCO002146,10,1
MYCO002147,29,1078
MYCO002148,27,1075
MYCO002149,21,13
MYCO002152,65,76
MYCO002158,89,633
MYCO002159,61,309
MYCO002160,12,2734
MYCO002161,49,112
MYCO002162,78,3731
MYCO002164,57,32
MYCO002165,58,9
MYCO002168,16,589
MYCO002169,17,2
MYCO002171,33,1
MYCO002172,45,3
MYCO002173,50,33
MYCO002174,53,6
MYCO002175,16,3
MYCO002177,35,3095
MYCO002180,39,1109
MYCO002181,43,12
MYCO002183,15,0
MYCO002184,46,8
MYCO002185,21,2
MYCO002189,36,498
MYCO002190,48,187
MYCO002191,91,128
MYCO002197,36,9
MYCO002198,50,49
MYCO002203,32,12
MYCO002204,18,3
MYCO002205,64,107
MYCO002206,40,4
MYCO002207,41,73
MYCO002208,47,17
MYCO002209,66,127
MYCO002212,62,26
MYCO002214,75,8
MYCO002215,86,138
MYCO002223,69,27
MYCO002224,65,5
MYCO002226,75,104
MYCO002227,27,604
MYCO002229,29,5
MYCO002231,46,30
MYCO002232,39,21
MYCO002234,23,6
MYCO002236,49,234
MYCO002237,42,1
MYCO002238,8,1
MYCO002240,29,14
MYCO002248,27,82
MYCO002249,70,44
MYCO002250,21,4
MYCO002251,2,5807
MYCO002252,39,7
MYCO002253,26,37
MYCO002254,26,16
MYCO002255,13,2
MYCO002256,16,2
MYCO002258,52,411
MYCO002260,29,5
MYCO002261,21,11
MYCO002262,4,5751
MYCO002263,41,1202
MYCO002264,78,2205
MYCO002265,48,80
MYCO002266,62,8
MYCO002267,48,75
MYCO002268,78,266
MYCO002269,24,11
MYCO002270,29,196
MYCO002271,15,168
MYCO002272,9,166
MYCO002273,21,175
MYCO002274,27,182
MYCO002275,34,670
MYCO002276,61,194
MYCO002277,40,1272
MYCO002278,16,589
MYCO002280,70,242
MYCO002281,82,38
MYCO002282,40,484
MYCO002283,11,30
MYCO002284,39,23
MYCO002285,54,497
MYCO002286,36,671
MYCO002287,70,38
MYCO002288,27,11
MYCO002289,35,122
MYCO002290,34,20
MYCO002291,47,25
MYCO002292,6,6
MYCO002293,17,2701
MYCO002294,63,18
MYCO002295,34,15
MYCO002296,42,21
MYCO002297,19,8
MYCO002298,54,12
MYCO002299,69,60
MYCO002300,46,79
MYCO002301,41,12
MYCO002302,15,2
MYCO002303,58,25
MYCO002304,9,5
MYCO002305,70,60
MYCO002307,46,16
MYCO002308,44,68
MYCO002309,26,10
MYCO002310,21,16
MYCO002311,25,36
MYCO002312,11,2
MYCO002313,40,56
MYCO002314,65,73
MYCO002316,37,2
MYCO002317,27,8
MYCO002318,39,1153
MYCO002319,42,1886
MYCO002320,66,9
MYCO002321,28,9
MYCO002322,32,8
MYCO002323,47,27
MYCO002324,29,6
MYCO002325,36,14
MYCO002326,89,28
MYCO002327,18,7
MYCO002328,54,26
MYCO002329,76,35
MYCO002330,27,12
MYCO002331,22,6
MYCO002332,67,10
MYCO002333,51,815
MYCO002334,41,64
MYCO002335,35,17
MYCO002336,53,280
MYCO002337,55,134
MYCO002338,52,573
MYCO002339,117,1430
MYCO002340,67,82
MYCO002341,19,116
MYCO002342,14,0
MYCO002345,89,54
MYCO002346,121,1280
MYCO002347,105,3197
MYCO002348,18,12
MYCO002349,84,570
MYCO002350,47,747
MYCO002351,55,994
MYCO002352,64,1540
MYCO002353,5,5675
MYCO002354,16,589
MYCO002356,48,3954
MYCO002358,15,3
MYCO002359,43,2
MYCO002360,26,5
MYCO002363,45,537
MYCO002365,13,51
MYCO002369,17,15
MYCO002370,69,46
MYCO002371,9,5
MYCO002372,38,8
MYCO002375,15,7
MYCO002376,25,5
MYCO002377,9,8
MYCO002378,43,23
MYCO002379,135,33
MYCO002380,209,177
MYCO002381,114,24
MYCO002382,42,18
MYCO002383,191,106
MYCO002384,60,27
MYCO002385,56,5
MYCO002386,46,19
MYCO002387,47,10
MYCO002388,55,107
MYCO002389,20,7
MYCO002390,25,83
MYCO002391,65,4
MYCO002392,35,19
MYCO002393,33,123
MYCO002394,93,29
MYCO002395,84,34
MYCO002396,61,2491
MYCO002397,52,4
MYCO002398,35,1
MYCO002401,13,3
MYCO002403,31,24
MYCO002405,24,6
MYCO002406,16,183
MYCO002407,41,1197
MYCO002408,32,14
MYCO002414,70,194
MYCO002415,40,31
MYCO002416,69,49
MYCO002417,34,161
